Ano,Trimestre,Categoria,Tipo,CNPJ IF,Instituição financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,Quantidade total de clientes  CCS e SCR,Quantidade de clientes  CCS,Quantidade de clientes  SCR,Unnamed: 14
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,VOLVO (conglomerado), ,0,1,0,1,8510,48,8501,
2022,3º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,VOTORANTIM (conglomerado),"20,82",293,440,128,861,14072909,10185831,5344217,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,VR (conglomerado), ,3,1,0,4,77,60,18,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,WESTERN UNION (conglomerado), ,4,2,2,8,1,1, ,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,WILL (conglomerado),"60,50",200,127,162,489,3305651,3305651, ,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,00991143,WORLDPAY DO BRASIL INSTITUICAO DE PAGAMENTO LTDA, ,0,1,0,1,55, ,55,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,XP (conglomerado),"110,18",91,26,18,135,825881,818403,578173,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,YAMAHA MOTOR (conglomerado), ,2,21,16,39,215003,166,214868,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ABC-BRASIL (conglomerado), ,11,2,4,17,55693,51667,7966,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,13140088,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO,"15,52",86,81,12,179,5538591,5538546,41852,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,10868663,ACG INSTITUIÇÃO DE PAGAMENTO S.A., ,1,1,0,2,51711,51711, ,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,AFINZ (conglomerado), ,17,32,13,62,483968,1078,482931,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,AGIBANK (conglomerado),"112,41",224,261,60,545,1992640,1610132,1269980,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,36321990,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,2,6,0,8,549291,127,549164,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,27214112,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,5,0,0,5,31644,20829,16684,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ALFA (conglomerado), ,7,25,4,36,439630,267442,173252,
