Segmento_x,CNPJ,Nome_x,employer_name,reviews_count,culture_count,salaries_count,benefits_count,employer-website,employer-headquarters,employer-founded,employer-industry,employer-revenue,url,Geral,Cultura e valores,Diversidade e inclusÃ£o,Qualidade de vida,Alta lideranÃ§a,RemuneraÃ§Ã£o e benefÃ­cios,Oportunidades de carreira,Recomendam para outras pessoas(%),Perspectiva positiva da empresa(%),Nome_y,match_percent,Segmento_y,Ano,Trimestre,Categoria,Tipo,Instituição financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,quantidade_total_clientes_ccs_scr,quantidade_clientes_ccs,quantidade_clientes_scr,Unnamed: 14
,1027058.0,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,CIELO S.A., ,28.0,23.0,47.0,98.0,0.0,0.0,0.0,
,1027058.0,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,CIELO S.A., ,21.0,27.0,25.0,73.0,0.0,0.0,0.0,
,1027058.0,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO, ,21.0,34.0,32.0,87.0,0.0,0.0,0.0,
,1027058.0,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO, ,14.0,16.0,38.0,68.0,0.0,0.0,0.0,
S5,1039011.0,"COOPERATIVA DE CR�DITO DOS PROFISSIONAIS DA SA�DE, CONTABILISTAS, EMPRES�RIOS E PROFESSORES DO OESTE E SERRA LTDA - UNICRED OESTE E SERRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,1042487.0,COOPERATIVA DE CR�DITO DE LIVRE ADMISS�O DE ASSOCIADOS DAS REGI�ES NORTE E NORDESTE DO PAR� - SICOOB UNIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,1060307.0,COOPERATIVA DE CR�DITO DE LIVRE ADMISS�O DA UNI�O DOS VALES DO PIRANGA E MATIP� LTDA.   SICOOB UNI�O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,1062439.0,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA COMIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,1073966.0,COOPERATIVA DE CR�DITO RURAL DE ABELARDO LUZ - SULCREDI/CREDILUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,1086342.0,COOPERATIVA DE CR�DITO RURAL COM INTERA��O SOLID�RIA DE LARANJEIRAS DO SUL - CRESOL LARANJEIRAS DO SUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,1090027.0,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E CATEGORIAS AFINS-UNICRED NITEROI LTDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,1107759.0,COOPERATIVA DE ECONOMIA E CR�DITO M�TUO DOS FUNCION�RIOS DA USINA SANTA MARIA - PILONCRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,1110032.0,COOPERATIVA DE CR�DITO DE LIVRE ADMISS�O DO LESTE MINEIRO LTDA.- UNICRED LESTE MINEIRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,1151186.0,COOPERATIVA DE CR�DITO DE CAMPINA GRANDE - SICREDI CENTRO PARAIBANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,1152097.0,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DA MATA MINEIRA LTDA - SICOOB CREDIMATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
